			0
blossomed			1
blossoms			3
blot			2
blow			10
blowing			2
blown			2
blue			19
blurred			1
blurted			1
blush			1
blushed			1
blushing			1
blustered			1
board			3
boast			3
boasted			3
boat			35
boat--or			1
boats			3
boded			1
bodies			11
body			24
bogies			1
boil			1
boiling			1
bold			5
boldest			1
boldly			1
boldness			1
bolt			5
bolts			2
bombardment			1
bombay			1
bond			1
bones			1
bonzes			1
bonzes--who			1
book			10
books			6
boomed			1
boon			1
boot			2
boots			3
bordered			2
borderland			1
borders			1
bore			6
bored			1
borgia			2
born			3
bosom			2
both			21
bottle			3
bottles			1
bottom			21
bound			13
bounds			2
bouquet			2
bow			1
bowed			13
bowl			1
bowls			1
box			39
boxes			12
boxes--my			1
boy			21
boyhood			1
boyhood's			1
boyish			2
braced			1
bracing			1
bracken			1
brahmin			1
brain			9
brains			2
branch			5
branded			1
brant			3
brass			7
brass-bound			4
brass-work			1
brasses			2
brave			9
brave--a			1
bravely			1
bravest			1
brazen			1
braziers			1
breach			3
bread			1
bread-and-butter			1
break			6
breakfast			17
breakfasted			1
breaking			3
breast			7
breath			20
breathe			6
breathed			1
breathes			1
breathing			7
breathless			1
bred			1
breeze			5
brent			1
brief			4
brigg			1
bright			8
brightened			2
brighter			3
brightest			1
brightly			2
brilliancy			1
brilliant			8
brilliantly-lighted			1
bring			21
brings			3
brisk			1
british			1
broach			1
broad			4
broadly			1
broke			7
broken			10
brokenly			1
bronze			1
bronzed			1
brooded			3
brooding			2
brook			1
brother			7
brotherly			1
brothers			1
brought			26
brow			2
brown			10
brows			2
bruise			2
brush			1
brushed			1
brutal			1
brutally			1
bud			1
buddha			3
buddhist			6
buffet			1
buildings			1
built			2
bullet			1
bundle			2
bungalow			1
buoyant			1
burden			2
burglar			2
burglars			5
burglary			4
burial			2
buried			6
buries			1
burn			3
burned			2
burning			5
burns			1
burnt			3
burst			8
bursting			1
bury			3
bush			1
bushes			5
busily			1
business			26
business@pglaf.org			1
bustled			1
bustling			1
busy			7
but			648
butchered			1
butler			1
button-hole			1
buxom			1
buzzing			3
by			300
bygone			1
c			5
cab			2
cage			4
caged			1
cages			2
cake			1
calculate			1
calculated			3
caligraphy			1
call			36
call-note			1
called			16
calling			8
callous			1
callously			3
calls			4
calm			2
calmed			1
calmly			8
came			226
camera			1
campaign			2
can			141
can't			24
candid			1
candle			1
candles			1
candlesticks			1
candor			1
cannot			56
cap			2
capable			5
capitally			1
capture			3
captured			1
car			2
carcass			2
card			1
cardboard			1
cards			3
care			24
cared			9
career			1
careful			5
carefully			10
careless			2
carelessly			8
cares			1
caressed			2
caressing			3
caressingly			4
careworn			1
carking			1
carnation			3
carnations			2
carpet			3
carriage			1
carried			17
carries			2
carry			13
carrying			5
cart			2
cartridges			1
carved			2
case			25
casement			4
cases			1
casket			2
cast			10
caste			1
castle			64
castle--six			1
casual			1
cat			7
cat-like			1
cataleptic			1
catastrophe			1
catastrophes			1
catch			14
catching			2
caught			26
cause			13
caused			13
causes			2
causing			1
caustic			1
caution			5
cautious			1
cautiously			6
cave			18
cavern			1
caves			6
cawnpore			1
cease			3
ceased			11
celebrities			1
celebrity			1
cell			1
cellars			2
center			4
centuries			1
century			1
ceremonial			1
ceremonies			1
ceremony			1
certain			57
certainly			11
ch			1
chaff			1
chaffing			1
chain			2
chair			22
challenge			2
chamber			1
chamber--as			1
chambers			1
champagne			1
chance			18
chances			1
change			13
changed			16
changing			1
channel			2
chaps			1
chapter			59
character			3
characteristic			1
characteristics			1
characters			1
charcoal			1
charge			9
charges			1
charitable			1
charities			1
charles			6
charm			1
charmed			1
charming			7
charred			1
chase			1
chased			1
chaste			2
chat			1
chattering			4
chatting			3
cheap			1
check			4
checked			5
checkered			1
checkmated			1
checks			1
cheek			9
cheeks			1
cheer			1
cheerful			6
cheerfully			8
cheerfulness			3
cheering			1
cheers			1
cherished			1
chess			1
chessboard			1
chest			1
chief			3
chiefly			1
child			34
childhood			1
childhood's			1
childish			1
childlike			1
children			3
chill			2
chilled			2
chilly			1
chime			1
chimneys			2
china			4
chinese			1
chippendale			1
chloroform			2
chocolate			2
chocolates			1
choicest			2
choked			2
choking			6
cholera			2
choose			2
chose			4
chosen			1
christian			4
chronicle			1
chuckle			1
chuckled			5
chuckles			1
chuckling			1
churchyard			1
churning			1
cigar			2
cigarette			32
cigarettes			6
cipher			1
circle			5
circled			1
circumspect			1
circumstances			30
circumstances--but			1
cities			2
city			8
civilization			4
civilized			2
clad			6
claim			2
clammy			2
clamor			1
clamorous			1
clamped			1
clang			2
clanged			4
clap			1
clapped			2
claret			5
clasped			2
clasps			1
class			2
claw			2
claws			1
clear			29
cleared			3
clearly			1
clemency			1
clenching			1
clever			19
cleverer			1
cleverest			3
cleverness			2
click			1
cliff			14
cliffs			41
climbed			1
climbing			1
clinches			1
clingingly			1
clings			2
cloak			3
clock			1
cloister			1
close			33
closed			35
closely			9
closer			2
closing			1
cloth			7
clothes			3
clothing			2
cloud			7
clouded			1
clouds			4
clue			8
clumsy			3
clung			4
clutch			1
clutched			2
clutches			1
clutching			3
coachman			1
coarse			1
coast			3
coat			5
coat-tail			1
cobra			1
cobwebs			1
cocoon			1
codes			1
coffee			3
coffin			2
cogency			1
cogitating			1
cognizance			1
coiled			1
coiling			1
coincidence			3
cold			31
cold-blooded			1
coldly			7
coldness			1
colleague			2
collected			3
collection			4
cologne			1
color			8
colored			1
colors			1
combat			3
combined			1
come			169
comedy			3
comes			29
comfort			7
comfortable			8
comforting			1
comforts			2
comic			1
coming			43
command			5
commanded			1
commanding			3
commented			1
commercial			1
commit			2
committed			2
common			6
commonplace			2
commotion			4
communication			2
companion			23
companion's			3
companions			5
company			13
comparatively			2
compare			1
compared			2
comparison			2
compassed			1
compel			3
compelled			4
competent			2
compilation			1
complains			1
complaint			1
complete			4
completed			1
completely			1
complexion			1
compliance			5
complied			2
compliment			2
comply			9
complying			3
composedly			1
composing			1
comprehend			3
comprehended			1
comprehension			2
compressed			1
compunction			1
computer			2
computers			2
comrade			1
comrades			1
conceal			5
concealed			6
concealment			3
conceals			1
conceit			1
concept			2
concerned			7
concerning			2
concluded			4
conclusion			2
conclusions			3
concoct			1
concocted			1
condemned			4
condition			6
conditions			2
condolence			1
conduct			1
conducted			1
confederate			1
confederates			5
confess			4
confessed			3
confession			6
confide			3
confidence			16
confidence--no			1
confidently			2
confirmation			1
confirmed			1
conflicting			2
confronted			1
confused			4
confusion			2
congratulated			1
conjecture			1
conjuring			1
connect			2
connected			6
connection			3
connoisseur			1
conquered			1
conscience			6
conscious			8
consciousness			3
consent			2
consented			1
consequences			2
consequential			1
consequently			1
conservatory			4
consider			1
considerable			2
considerably			1
considerate			2
consideration			2
considered			3
considering			2
consolation			1
console			1
consolingly			1
conspicuous			3
conspiracies			1
conspiracy			3
conspirator			1
conspirators			2
constable			1
constant			1
constantly			2
constitutions			1
constrained			2
contact			5
contain			2
contained			1
containing			3
contains			2
contemplating			2
contemplation			1
contempt			1
contemptuously			1
content			7
contented			1
contents			4
contest			1
continent			1
continue			2
continued			4
contract			1
contracted			1
contrary			5
contributions			2
contrivance			2
contrived			1
control			5
controversy			1
convent			2
conversation			10
conversing			1
convert			1
converted			1
convey			5
conveyance			1
conveyances			1
conveyed			8
convince			3
convinced			3
convulsive			1
convulsively			3
cooking			1
cool			9
cooled			1
cooler			1
coolly			20
cope			1
copied			2
copies			7
copper			3
copy			11
copying			4
copyright			14
coquetry			1
coquettish			1
cordial			3
cordova			1
cork			1
corner			7
corners			2
coroner			1
corporation			1
corpse			1
correct			4
corridor			37
corridors			1
corrupt			1
cosmopolitan			1
cost			2
costly			1
costs			2
costume			3
cottage			2
cottages			1
cotton			1
couch			2
coughed			1
could			284
couldn't			7
counsel			1
counsels			1
counted			1
countenance			1
counting			1
countries			1
country			13
countrymen			1
county			1
coup			2
couple			5
courage			14
courageous			1
course			67
court			2
courtesies			1
cousin			8
cover			3
covered			6
covers			1
coward			1
cowered			1
crack			4
craft			2
crafty			1
crammed			2
crashing			3
crave			1
crawled			1
crawls			1
creak			1
creaked			1
created			2
creating			4
creation			1
creature			21
creature--not			1
creatures			2
credit			1
creed			3
creeping			10
creepy			2
crept			31
cri			1
cried			67
cries			8
crime			9
crimea			1
crimes			3
criminal			6
criminals			2
crimson			3
crisis			1
criss-cross			3
criss-crossed			1
critical			3
critically			1
croaked			11
croaking			4
crocus			2
crooked			4
crooning			1
cross			2
crossed			15
crouched			1
crowd			4
crowded			2
crown			1
crowning			1
cruel			20
cruelly			1
cruelty			4
crumbling			1
crush			2
crushed			3
crushing			2
crux			2
cry			31
cry--a			2
crying			4
crystal			4
cub			1
cues			1
cuffed			1
culled			1
culprit			4
cultivate			2
cumberer			1
cumbers			1
cunning			11
cunningly			1
cup			7
cupboard-like			1
cups			2
cure			2
cured			1
curios			1
curiosities			1
curiosity			14
curious			14
curiously			7
curl			1
curled			1
current			4
curse			8
curtain			1
curtains			2
curtly			2
curtsey			1
curved			1
cushions			2
custody			2
custom			2
cut			19
cutting			3
cuyp			1
cycling			2
d			1
dab			1
dabbed			1
dabble			1
dagger			2
daggers			1
daily			1
daintily			3
daintiness			1
dainty			4
daisy			1
damage			2
damaged			1
damages			4
damask			5
dame			1
damp			4
danced			5
dancing			2
danger			73
dangerous			19
dangers			5
dare			26
dared			6
dargi			2
daring			2
dark			67
dark-eyed			1
darkened			1
darkest			2
darkly			1
darkness			30
darling			8
dart			1
darted			4
dash			1
dashed			3
dashing			1
dastardly			3
data			1
date			3
dates			1
daughter			3
daunted			1
dawn			4
dawned			1
day			45
day's			2
daybreak			2
daylight			7
days			23
daytime			1
dazed			5
dazzling			3
dazzlingly			1
de			2
dea			1
dead			53
dead--drowned			1
dead--your			1
deadliest			1
deadly			11
deal			16
dealing			4
dealings			1
dealt			2
dear			62
dearest			7
dearly			1
death			53
deaths			2
decade			1
decanter			1
decanters			4
decease			1
deceased			2
deceive			2
deceived			3
deceiving			1
decency			1
decent			1
deception			1
decide			2
decided			2
decision			1
declare			2
declared			4
decline			2
declined			2
declines			1
decorated			2
decorations			1
decoyed			1
decrees			1
decrepit			1
deductible			1
deed			3
deeds			2
deem			3
deemed			2
deep			27
deepened			3
deepening			1
deepens			1
deeper			2
deepest			2
deeply			13
deer			1
defeat			1
defeated			1
defect			3
defective			3
defects			1
defence			1
deference			1
defiance			1
defiant			1
defiantly			1
defiled			2
defined			1
definite			1
deftly			1
defy			2
degrade			1
degree			4
dejected			1
delay			4
deletions			1
deliberately			3
delicacy			1
delicate			7
delicately			1
delicious			1
delight			3
delighted			3
delightful			1
deliver			2
delivered			1
delivering			1
delusion			1
demand			2
demanded			16
demanding			1
demands			1
demented			1
demonstrate			1
demonstration			1
demure			1
demurely			1
den			1
denounce			1
denouncing			1
dense			1
deny			4
departed			4
depend			1
depends			7
deplorable			1
deplore			1
deplored			1
deposit			1
deposited			6
depraved			1
depravity			1
deprived			3
depths			1
deputy-lieutenant			1
deride			1
derivative			3
derive			2
derived			1
dernière			1
descend			1
descending			1
describe			2
described			2
description			2
desert			1
deserted			10
deserve			2
deserved			1
design			2
designed			1
designs			3
desire			15
desired			3
desires			1
desolate			2
desolation			1
despair			9
despairing			1
despatch			1
despatched			1
desperate			6
despised			2
despises			1
despite			6
dessert			1
destination			2
destined			1
destiny			1
destroy			10
destroyed			10
destroyer			2
destroying			2
destruction			8
detach			1
detail			4
detailed			3
details			5
detain			5
detained			6
detaining			1
detect			1
detected			3
detective			3
detectives			2
determination			2
determine			2
determined			3
devastating			1
developed			1
development			1
developments			1
deviation			1
devices			1
devil			5
devilish			1
devils			1
devoid			3
devoted			1
devotedly			1
devoured			1
devouring			1
dexterously			1
diabolical			4
diamond			2
diamonds			2
diaphanous			2
diary			7
dictated			1
did			182
didn't			5
die			27
died			17
dies			3
difference			5
different			10
differently			1
difficult			4
difficulties			2
difficulty			1
dignified			1
dilated			1
dim			4
dimly			2
dine			2
dined			2
dingy			2
dining			6
dining-hall			5
dining-room			3
dinner			13
dinner-table			1
dinner-time			1
diplomacy			2
dipper			2
dire			3
direct			3
directed			1
directing			1
direction			15
directions			3
directly			13
director			1
direst			1
dirge			1
dirty			1
disappear			2
disappeared			13
disappearing			1
disappears			1
disappointed			5
disappointment			2
disarmed			1
disarming			1
disaster			2
disastrously			2
disc			2
discarded			4
discarding			2
disclaim			2
disclaimed			2
disclaimer			3
disclaimers			1
disclose			2
disclosed			2
disclosing			1
discontinue			1
discount			2
discouraged			2
discourse			1
discoursed			2
discover			4
discovered			23
discoveries			4
discovery			12
discreetly			5
discs			1
discuss			6
discussed			3
discussing			1
diseases			1
disfigured			5
disfigurement			1
disfigurements			1
disfiguring			1
disgrace			2
disgrace--a			1
disguise			17
disguised			5
disguises			2
dish			1
dishes			1
dishonor			1
disinterested			1
disk			2
dislike			1
dismay			2
dismayed			2
dismiss			2
dismissed			1
disobey			1
disordered			1
disparity			1
dispense			1
display			2
displayed			4
displaying			4
displeased			1
displeasing			1
displeasure			2
disposal			1
disposed			2
disposition			2
disputing			1
disregard			1
dissolve			1
dissolved			2
distance			6
distant			1
distasteful			1
distended			1
distinct			2
distinctly			1
distinctness			1
distinguish			1
distinguished			3
distracted			1
distraction			1
distress			3
distressed			1
distribute			6
distributed			6
distributing			7
distribution			6
distributor			1
disturb			1
disturbance			1
disturbed			7
divided			1
divine			6
divined			2
divinely			1
do			287
dock			1
doctor			12
doctored			1
doctors			5
documents			2
does			49
doesn't			7
dog			15
dogcart			1
dogged			3
doggedly			5
dogging			2
dogs			5
dogs--dogs			1
doing			29
doings			3
domain			9
domestic			1
dominions			1
don't			102
donate			3
donation			1
donations			15
done			52
donkey			2
donned			3
donors			1
doom			1
doomed			12
door			70
doors			6
doorway			6
dose			1
double			5
doubly			1
doubt			31
doubted			1
doubtful			1
doubtless			12
douche			1
down			150
down--fair			1
downcast			1
downloading			1
downstairs			4
downward			1
dozen			4
dr			25
drag			4
dragged			4
dragging			3
dramatic			5
drank			1
draperies			1
drapery			3
draught			4
draw			6
drawbridge			3
drawers			1
drawing			10
drawing-room			4
drawn			9
draws			1
dread			4
dreaded			4
dreadful			16
dreadfully			2
dream			16
dreamed			1
dreamingly			1
dreams			4
dreamt			4
dreamy			1
drearily			1
drenched			1
drenching			1
dresden			1
dress			29
dressed			13
dresses			2
dressing			1
dressing-table			2
drew			25
dried			2
drifted			2
driftings			1
drily			1
drink			2
drinks			1
dripping			3
drive			6
driven			4
driving			1
drone			1
droning			3
drop			8
dropped			26
dropping			2
drops			1
drove			4
drown			4
drowned			11
drowning			3
drowsiness			1
drowsy			3
drug			7
drugged			4
drugs			3
drumming			4
drunk			1
drunken			1
dry			8
dryly			7
ducks			1
due			5
dug			1
dull			7
dulled			1
dullest			1
dullness			1
dully			1
duly			2
dumb			4
dungeon			2
duration			1
during			6
dusk			3
dusky			7
dust			2
dusty			1
duties			1
duty			4
dwell			4
dwelt			2
dyck			1
dying			2
dynasty			1
e			22
e-mail			1
each			19
eager			5
eagerly			10
eagerness			3
ear			2
ear--a			1
earlier			1
early			4
earnest			2
earnestly			8
earnestness			2
ears			17
earshot			1
earth			9
earthly			2
ease			2
easier			2
easily			11
east			11
east--but			1
eastern			11
eastern-looking			1
easy			22
eat			1
eau			1
ebbing			2
ebbs			1
ebook			5
ebooks			7
eccentricity			1
echo			2
echoed			1
echoes			1
echoing			2
eclipse			1
edge			3
edges			1
edition			1
editions			4
education			1
educational			1
efface			1
effect			16
effort			7
efforts			5
eggs			1
egotist			1
eh			5
eight			2
eighteen			2
ein			1
either			13
el			1
elaborate			3
elapsed			2
elastic			3
elastic--you			1
elbow			1
elder			1
elderly			1
elders			5
elect			1
elected			2
electric			2
electrical			2
electricity			1
electronic			27
electronically			2
elegant			1
eleven			1
eloquent			1
elphick			11
else			17
elsewhere			1
elsewhere--in			1
elude			2
eluded			1
em			1
email			3
emanating			1
embark			1
embarrassed			1
emblems			1
embossed			1
embrace			2
emerald			1
emeralds			1
emerge			1
emerged			7
emotion			4
emotionless			1
emotions			6
emphatic			1
emphatically			1
employ			1
employed			2
employee			1
employees			2
employer			1
empty			7
en			1
enabled			1
enables			1
enacted			1
enclose			1
enclosure			2
encountered			2
end			62
endanger			1
endangering			1
endeavors			1
ended			4
ending			2
ends			5
endure			1
endured			1
enemies			3
enemy			27
enemy's			1
energy			1
engaged			5
england			16
english			20
englishman			5
englishmen			2
englishwoman			2
engulfs			1
enigma			4
enigma--nay			1
enigmas			1
enjoy			2
enjoying			1
enjoys			1
enlighten			2
enlightenment			1
enormous			1
enough			32
ensuring			1
entailed			1
entangled			1
entanglement			1
enter			5
entered			19
entering			3
enterprise			1
entertain			1
entertained			2
entertaining			3
enthusiasm			1
enthusiastic			2
entirely			8
entity			3
entrance			3
entreaty			1
entry			2
envelope			5
envelopes			1
envied			1
environment			1
envy			1
epidemic			1
episode			1
equal			3
equally			5
equipment			3
ere			3
errand			4
errands			1
erring			1
error			2
errors			1
escape			15
escaped			12
escapes			1
especially			4
essential			1
essentials			1
established			2
establishment			1
establishments--accounts			1
estate			2
estates			1
esteemed			1
estimable			1
estimate			2
etc			2
eternal			2
euclid			1
europe			6
european			3
euston			2
evade			1
evaded			1
evasively			1
eve			1
even			50
evening			10
evenings			2
event			1
eventful			4
events			7
eventually			2
ever			50
everlasting			2
every			44
everybody			19
everybody's			1
everything			50
everywhere			6
evidence			15
evidences			1
evident			2
evidently			9
evil			9
evinced			1
evolved			1
ex			1
ex-meddling			1
exactly			8
exaggerate			1
examination			2
examine			1
examined			2
examining			2
exceed			1
exceedingly			5
excellent			4
except			10
excepting			2
exception			1
exceptionally			1
excess			1
exchange			1
exchanged			1
excited			3
excitement			13
exciting			1
exclaimed			14
exclamation			4
exclusion			1
excursion			1
excursionists			1
excuse			3
excused			2
executive			1
exempt			2
exercise			3
exertion			3
exertions			2
exhausted			10
exhausting			1
exhibited			1
exhibition			1
exist--at			1
existed			2
existence			3
existing			1
exists			1
exit			6
expanse			1
expect			6
expectation			4
expected			18
expedient			1
expedition			3
expend			1
expense			2
expenses			2
experience			4
experiences			3
experiment			2
experiments			1
explain			12
explained			27
explaining			1
explains			2
explanation			7
explanations			1
explored			1
explorers			1
exporting			1
expose			1
expostulate			1
express			3
expressed			2
expression			27
expression--an			1
expressionless			2
exquisite			2
extent			4
exterminating			1
extinct			1
extinction			1
extinguished			4
extra			1
extract			1
extracted			1
extraordinary			5
extravagant			1
extremely			2
exultation			1
eye			18
eyeballs			1
eyed			1
eyes			171
eyes--tears			1
eyesight			1
f			11
face			198
faced			1
faces			9
facility			1
facing			1
fact			44
facts			3
faded			2
fading			1
fail			12
failed			18
failure			1
failures			2
fain			6
faint			17
faint--giddy			1
fainted			3
faintest			2
fainting			2
faintly			4
fair			13
fairbanks			1
fairly			3
faith			9
fakir			1
falces			1
fall			15
fallen			19
falling			1
falls			1
false			3
faltered			2
familiar			6
familiars			2
family			96
famous			2
fan			2
fanatic			1
fanatical			3
fanaticism			1
fancied			6
fancies			1
fancy			34
fanlight			2
fanlights			1
fanned			1
far			56
farewell			3
farm			14
farmer			1
farmer's			1
farmers			2
farmhouse			4
farmhouses			1
farther			6
farthingale			1
fascinated			4
fascinates			1
fascinating			10
fascination			4
fascinations			2
fashion			11
fashionable			1
fast			13
fasten			1
fastened			5
faster			1
fat			1
fatal			6
fatalist			2
fate			12
fated			2
fateful			1
father			16
father's			1
fathers			1
fault			3
favor			5
favorable			1
favored			3
favorite			3
favorites			1
façade			1
fear			41
feared			5
fearful			10
fearfully			2
fearless			1
fears			4
fearsome			1
feast			3
feather			1
feathers			1
feathery			1
feature			1
features			12
federal			2
fee			8
feeble			3
feel			38
feeling			35
feelingly			2
feelings			12
fees			4
feet			33
fell			24
fellow			14
fellow--i			1
fellow-countryman			2
fellow-creatures			1
fellows			4
felt			51
female			4
feminine			2
feminine-looking			1
fence			1
fernseed			1
ferocious			1
ferocity			1
fervent			3
fervently			2
fetch			5
fetched			4
fetching			1
fetish			1
fettered			2
feud			1
fever			1
feverish			1
few			50
fiction			1
field			1
fiend			11
fiends			4
fierce			2
fiercely			4
fifty			4
fight			4
fighting			4
fights			1
figure			36
figures			5
file			2
files			2
filigree			2
fill			3
filled			38
filling			2
fills			2
filtered			2
finally			8
financial			1
find			49
finding			5
finds			2
fine			19
finest			3
finger			4
finger-tips			2
fingers			29
finish			4
finished			13
fire			12
firearms			1
fired			1
fireplace			4
fireproof			1
fires			5
firm			3
firmly			1
first			50
fish			1
fisherman's			1
fishermen			6
fishing			7
fissure			1
fissures			1
fist			2
fists			1
fit			7
fitful			1
fitfully			1
fitness			2
fitted			1
fitting			1
five			15
fix			2
fixed			3
fixedly			1
flag			1
flagged			3
flagrant			1
flame			5
flamed			3
flaming			1
flare			1
flared			2
flash			12
flashed			10
flashing			2
